Sampling Date,Location of Monitoring Station,SO2,NO2,RSPM/PM10
2012-10-11,"Govt. High School, Manali, Chennai.",16.0,24.0,78.0
2012-10-15,"Govt. High School, Manali, Chennai.",11.0,21.0,90.0
2012-10-18,"Govt. High School, Manali, Chennai.",20.0,20.0,92.0
2012-10-22,"Govt. High School, Manali, Chennai.",13.0,16.0,100.0
2012-10-25,"Govt. High School, Manali, Chennai.",16.0,18.0,111.0
2012-10-29,"Govt. High School, Manali, Chennai.",18.0,15.0,130.0
2012-11-01,"Govt. High School, Manali, Chennai.",13.0,18.0,69.0
2012-11-05,"Govt. High School, Manali, Chennai.",14.0,17.0,72.0
2012-11-08,"Govt. High School, Manali, Chennai.",14.0,19.0,83.0
2012-11-12,"Govt. High School, Manali, Chennai.",12.0,18.0,349.0
2012-11-15,"Govt. High School, Manali, Chennai.",16.0,18.0,80.0
2012-11-19,"Govt. High School, Manali, Chennai.",13.0,15.0,74.0
2012-11-22,"Govt. High School, Manali, Chennai.",15.0,17.0,77.0
2012-11-26,"Govt. High School, Manali, Chennai.",16.0,18.0,70.0
2012-11-29,"Govt. High School, Manali, Chennai.",13.0,15.0,83.0
2012-12-03,"Govt. High School, Manali, Chennai.",14.0,14.0,83.0
2012-12-06,"Govt. High School, Manali, Chennai.",15.0,16.0,89.0
2012-12-10,"Govt. High School, Manali, Chennai.",14.0,16.0,88.0
2012-12-13,"Govt. High School, Manali, Chennai.",16.0,16.0,96.0
2012-12-17,"Govt. High School, Manali, Chennai.",14.0,15.0,83.0
2012-12-20,"Govt. High School, Manali, Chennai.",17.0,19.0,81.0
2012-12-24,"Govt. High School, Manali, Chennai.",13.0,16.0,93.0
2012-12-27,"Govt. High School, Manali, Chennai.",16.0,17.0,81.0
2012-12-31,"Govt. High School, Manali, Chennai.",17.0,26.0,92.0
2013-01-03,"Govt. High School, Manali, Chennai.",16.0,20.0,75.0
2013-01-07,"Govt. High School, Manali, Chennai.",14.0,17.0,65.0
2013-01-10,"Govt. High School, Manali, Chennai.",13.0,19.0,118.0
2013-01-17,"Govt. High School, Manali, Chennai.",15.0,16.0,64.0
2013-01-21,"Govt. High School, Manali, Chennai.",17.0,17.0,83.0
2013-01-24,"Govt. High School, Manali, Chennai.",14.0,18.0,88.0
2013-01-28,"Govt. High School, Manali, Chennai.",13.0,15.0,75.0
2013-01-31,"Govt. High School, Manali, Chennai.",16.0,19.0,76.0
2013-02-04,"Govt. High School, Manali, Chennai.",14.0,18.0,59.0
2013-02-07,"Govt. High School, Manali, Chennai.",14.0,18.0,68.0
2013-02-11,"Govt. High School, Manali, Chennai.",16.0,19.0,64.0
2013-02-14,"Govt. High School, Manali, Chennai.",18.0,17.0,54.0
2013-02-18,"Govt. High School, Manali, Chennai.",15.0,18.0,58.0
2013-02-21,"Govt. High School, Manali, Chennai.",13.0,19.0,60.0
2013-02-25,"Govt. High School, Manali, Chennai.",14.0,16.0,60.0
2013-02-28,"Govt. High School, Manali, Chennai.",16.0,19.0,79.0
2013-03-04,"Govt. High School, Manali, Chennai.",18.0,21.0,56.0
2013-03-07,"Govt. High School, Manali, Chennai.",16.0,20.0,70.0
2013-03-11,"Govt. High School, Manali, Chennai.",15.0,19.0,71.0
2013-03-14,"Govt. High School, Manali, Chennai.",12.0,19.0,55.0
2013-03-18,"Govt. High School, Manali, Chennai.",15.0,19.0,69.0
2013-03-21,"Govt. High School, Manali, Chennai.",15.0,16.0,92.0
2013-03-25,"Govt. High School, Manali, Chennai.",16.0,18.0,55.0
2013-03-28,"Govt. High School, Manali, Chennai.",15.0,18.0,49.0
2013-04-01,"Govt. High School, Manali, Chennai.",14.0,15.0,71.0
2013-04-04,"Govt. High School, Manali, Chennai.",16.0,17.0,73.0
2013-04-08,"Govt. High School, Manali, Chennai.",16.0,19.0,58.0
2013-04-15,"Govt. High School, Manali, Chennai.",15.0,16.0,61.0
2013-04-18,"Govt. High School, Manali, Chennai.",19.0,17.0,109.0
2013-04-22,"Govt. High School, Manali, Chennai.",16.0,19.0,63.0
2013-04-25,"Govt. High School, Manali, Chennai.",18.0,20.0,62.0
2013-04-29,"Govt. High School, Manali, Chennai.",19.0,20.0,68.0
2013-05-02,"Govt. High School, Manali, Chennai.",18.0,20.0,53.0
2013-05-06,"Govt. High School, Manali, Chennai.",18.0,20.0,49.0
2013-05-09,"Govt. High School, Manali, Chennai.",18.0,19.0,75.0
2013-05-13,"Govt. High School, Manali, Chennai.",18.0,18.0,50.0
2013-05-16,"Govt. High School, Manali, Chennai.",20.0,19.0,92.0
2013-05-20,"Govt. High School, Manali, Chennai.",19.0,21.0,65.0
2013-05-23,"Govt. High School, Manali, Chennai.",16.0,21.0,55.0
2013-05-27,"Govt. High School, Manali, Chennai.",18.0,16.0,71.0
2013-05-30,"Govt. High School, Manali, Chennai.",13.0,20.0,60.0
2013-06-03,"Govt. High School, Manali, Chennai.",17.0,17.0,68.0
2013-06-06,"Govt. High School, Manali, Chennai.",20.0,21.0,56.0
2013-06-10,"Govt. High School, Manali, Chennai.",14.0,19.0,80.0
2013-06-13,"Govt. High School, Manali, Chennai.",17.0,20.0,
2013-06-17,"Govt. High School, Manali, Chennai.",18.0,21.0,68.0
2013-06-20,"Govt. High School, Manali, Chennai.",14.0,17.0,91.0
2013-06-24,"Govt. High School, Manali, Chennai.",16.0,20.0,81.0
2013-06-27,"Govt. High School, Manali, Chennai.",15.0,17.0,62.0
2013-07-01,"Govt. High School, Manali, Chennai.",16.0,17.0,47.0
2013-07-04,"Govt. High School, Manali, Chennai.",14.0,17.0,51.0
2013-07-08,"Govt. High School, Manali, Chennai.",14.0,17.0,53.0
2013-07-11,"Govt. High School, Manali, Chennai.",14.0,19.0,
2013-07-15,"Govt. High School, Manali, Chennai.",11.0,13.0,57.0
2013-07-18,"Govt. High School, Manali, Chennai.",12.0,18.0,46.0
2013-07-22,"Govt. High School, Manali, Chennai.",14.0,17.0,59.0
2013-07-25,"Govt. High School, Manali, Chennai.",14.0,17.0,55.0
2013-07-29,"Govt. High School, Manali, Chennai.",14.0,17.0,49.0
2013-08-01,"Govt. High School, Manali, Chennai.",11.0,17.0,54.0
2013-08-05,"Govt. High School, Manali, Chennai.",13.0,18.0,52.0
2013-08-08,"Govt. High School, Manali, Chennai.",15.0,19.0,44.0
2013-08-12,"Govt. High School, Manali, Chennai.",15.0,18.0,42.0
2013-08-19,"Govt. High School, Manali, Chennai.",17.0,19.0,46.0
2013-08-22,"Govt. High School, Manali, Chennai.",15.0,19.0,48.0
2013-08-26,"Govt. High School, Manali, Chennai.",16.0,15.0,55.0
2013-08-29,"Govt. High School, Manali, Chennai.",15.0,21.0,74.0
2013-09-02,"Govt. High School, Manali, Chennai.",14.0,17.0,71.0
2013-09-05,"Govt. High School, Manali, Chennai.",14.0,19.0,58.0
