,Sampling Date,Location of Monitoring Station,SO2,NO2,RSPM/PM10,SPM,PM 2.5
5436,4/3/2013,"Thiruvottiyur,  Chennai",16.0,21.0,49.0,,
5437,4/5/2013,"Thiruvottiyur,  Chennai",16.0,15.0,45.0,,
5438,4/10/2013,"Thiruvottiyur,  Chennai",15.0,17.0,55.0,,
5439,4/12/2013,"Thiruvottiyur,  Chennai",13.0,18.0,64.0,,
5440,17-04-13,"Thiruvottiyur,  Chennai",15.0,18.0,68.0,,
5441,19-04-13,"Thiruvottiyur,  Chennai",12.0,19.0,49.0,,
5442,26-04-13,"Thiruvottiyur,  Chennai",20.0,22.0,51.0,,
5443,5/3/2013,"Thiruvottiyur,  Chennai",18.0,19.0,59.0,,
5444,5/8/2013,"Thiruvottiyur,  Chennai",19.0,17.0,57.0,,
5445,5/10/2013,"Thiruvottiyur,  Chennai",19.0,20.0,52.0,,
5446,15-05-13,"Thiruvottiyur,  Chennai",15.0,17.0,71.0,,
5447,17-05-13,"Thiruvottiyur,  Chennai",14.0,19.0,54.0,,
5448,22-05-13,"Thiruvottiyur,  Chennai",16.0,19.0,53.0,,
5449,24-05-13,"Thiruvottiyur,  Chennai",18.0,20.0,79.0,,
5450,29-05-13,"Thiruvottiyur,  Chennai",19.0,20.0,60.0,,
5451,31-05-13,"Thiruvottiyur,  Chennai",11.0,14.0,71.0,,
5452,6/5/2013,"Thiruvottiyur,  Chennai",18.0,19.0,99.0,,
5453,6/7/2013,"Thiruvottiyur,  Chennai",13.0,18.0,50.0,,
